gene,compare,medianP,meanlogFC,cvFC,DEGtype,Gene_Name,entrezgene_id,description,biotype
ENSG00000050327,D5/D6,0.0422,0.277,9.01,non-DEG,ARHGEF5,7984,Rho guanine nucleotide exchange factor 5,Protein coding
ENSG00000101773,D5/D6,0.00416,0.277,3.32,non-DEG,RBBP8,5932,"RB binding protein 8, endonuclease",Protein coding
ENSG00000109084,D5/D6,0.0625,0.277,27.4,non-DEG,TMEM97,27346,transmembrane protein 97,Protein coding
ENSG00000114737,D5/D6,0.191,0.277,14.86,non-DEG,CISH,1154,cytokine inducible SH2 containing protein,Protein coding
ENSG00000117036,D5/D6,0.00252,-0.277,3.97,non-DEG,ETV3,2117,ETS variant transcription factor 3,Protein coding
ENSG00000120899,D5/D6,0.00015,-0.277,6.96,non-DEG,PTK2B,2185,protein tyrosine kinase 2 beta,Protein coding
ENSG00000130779,D5/D6,0.00073,0.277,4.26,non-DEG,CLIP1,6249,CAP-Gly domain containing linker protein 1,Protein coding
ENSG00000143545,D5/D6,0.055,-0.277,15.38,non-DEG,RAB13,5872,"RAB13, member RAS oncogene family",Protein coding
ENSG00000144224,D5/D6,0.000439,-0.277,5.22,non-DEG,UBXN4,23190,UBX domain protein 4,Protein coding
ENSG00000151552,D5/D6,0.0202,0.277,7.58,non-DEG,QDPR,5860,quinoid dihydropteridine reductase,Protein coding
ENSG00000156970,D5/D6,0.0122,-0.277,6.95,non-DEG,BUB1B,701,BUB1 mitotic checkpoint serine/threonine kinase B,Protein coding
ENSG00000163565,D5/D6,0.000107,0.277,3.54,non-DEG,IFI16,3428,interferon gamma inducible protein 16,Protein coding
ENSG00000170265,D5/D6,0.000876,0.277,8.47,non-DEG,ZNF282,8427,zinc finger protein 282,Protein coding
ENSG00000176422,D5/D6,0.0053,0.277,4.61,non-DEG,SPRYD4,283377,SPRY domain containing 4,Protein coding
ENSG00000182004,D5/D6,0.00283,0.277,7.71,non-DEG,SNRPE,6635,small nuclear ribonucleoprotein polypeptide E,Protein coding
ENSG00000186710,D5/D6,0.182,0.277,24.98,non-DEG,CFAP73,387885,cilia and flagella associated protein 73,Protein coding
ENSG00000188735,D5/D6,0.0111,0.277,11.32,non-DEG,TMEM120B,144404,transmembrane protein 120B,Protein coding
ENSG00000198554,D5/D6,0.0058,0.277,5.33,non-DEG,WDHD1,11169,WD repeat and HMG-box DNA binding protein 1,Protein coding
ENSG00000205352,D5/D6,0.0208,-0.277,20.24,non-DEG,PRR13,54458,proline rich 13,Protein coding
ENSG00000025434,D5/D6,0.142,-0.276,63.09,non-DEG,NR1H3,10062,nuclear receptor subfamily 1 group H member 3,Protein coding
ENSG00000101608,D5/D6,0.00308,0.276,5.11,non-DEG,MYL12A,10627,myosin light chain 12A,Protein coding
ENSG00000142676,D5/D6,0.00258,0.276,6.78,non-DEG,RPL11,6135,ribosomal protein L11,Protein coding
ENSG00000145332,D5/D6,0.027,0.276,13.09,non-DEG,KLHL8,57563,kelch like family member 8,Protein coding
ENSG00000145425,D5/D6,0.0541,0.276,17.39,non-DEG,RPS3A,6189,ribosomal protein S3A,Protein coding
ENSG00000148218,D5/D6,0.00318,-0.276,14.58,non-DEG,ALAD,210,aminolevulinate dehydratase,Protein coding
ENSG00000150776,D5/D6,0.0261,0.276,14.49,non-DEG,NKAPD1,55216,NKAP domain containing 1,Protein coding
ENSG00000162929,D5/D6,0.0183,-0.276,9.1,non-DEG,KIAA1841,84542,KIAA1841,Protein coding
ENSG00000168743,D5/D6,0.0765,-0.276,17.05,non-DEG,NPNT,255743,nephronectin,Protein coding
ENSG00000168944,D5/D6,0.00681,-0.276,6.84,non-DEG,CEP120,153241,centrosomal protein 120,Protein coding
ENSG00000176273,D5/D6,0.0861,0.276,7.35,non-DEG,SLC35G1,159371,solute carrier family 35 member G1,Protein coding
ENSG00000239789,D5/D6,0.038,0.276,5.21,non-DEG,MRPS17,51373,mitochondrial ribosomal protein S17,Protein coding
ENSG00000089094,D5/D6,0.00192,-0.275,4.92,non-DEG,KDM2B,84678,lysine demethylase 2B,Protein coding
ENSG00000101347,D5/D6,0.00972,-0.275,5.79,non-DEG,SAMHD1,25939,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,Protein coding
ENSG00000110583,D5/D6,0.00245,0.275,14.6,non-DEG,NAA40,79829,"N(alpha)-acetyltransferase 40, NatD catalytic subunit",Protein coding
ENSG00000115947,D5/D6,0.00545,0.275,8.28,non-DEG,ORC4,5000,origin recognition complex subunit 4,Protein coding
ENSG00000117410,D5/D6,0.0075,0.275,8.61,non-DEG,ATP6V0B,533,ATPase H+ transporting V0 subunit b,Protein coding
ENSG00000125835,D5/D6,0.000422,0.275,6.47,non-DEG,SNRPB,6628,small nuclear ribonucleoprotein polypeptides B and B1,Protein coding
ENSG00000128891,D5/D6,0.0161,-0.275,8.44,non-DEG,CCDC32,90416,coiled-coil domain containing 32,Protein coding
ENSG00000131584,D5/D6,0.0285,-0.275,7.67,non-DEG,ACAP3,116983,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",Protein coding
ENSG00000163597,D5/D6,0.00509,0.275,10.1,non-DEG,SNHG16,100507246,small nucleolar RNA host gene 16,lncRNA
ENSG00000166046,D5/D6,0.0174,-0.275,9.24,non-DEG,TCP11L2,255394,t-complex 11 like 2,Protein coding
ENSG00000166225,D5/D6,0.0637,-0.275,45.65,non-DEG,FRS2,10818,fibroblast growth factor receptor substrate 2,Protein coding
ENSG00000169696,D5/D6,0.00805,0.275,9.67,non-DEG,ASPSCR1,79058,"ASPSCR1 tether for SLC2A4, UBX domain containing",Protein coding
ENSG00000176903,D5/D6,0.00416,-0.275,4.96,non-DEG,PNMA1,9240,PNMA family member 1,Protein coding
ENSG00000183684,D5/D6,0.00694,0.275,9.32,non-DEG,ALYREF,10189,Aly/REF export factor,Protein coding
ENSG00000183978,D5/D6,0.0233,-0.275,5.8,non-DEG,COA3,28958,cytochrome c oxidase assembly factor 3,Protein coding
ENSG00000186130,D5/D6,0.00683,-0.275,7.53,non-DEG,ZBTB6,10773,zinc finger and BTB domain containing 6,Protein coding
ENSG00000205155,D5/D6,0.0233,-0.275,5.98,non-DEG,PSENEN,55851,"presenilin enhancer, gamma-secretase subunit",Protein coding
ENSG00000227345,D5/D6,0.00111,0.275,4.82,non-DEG,PARG,8505,poly(ADP-ribose) glycohydrolase,Protein coding
ENSG00000243323,D5/D6,0.0674,-0.275,12.81,non-DEG,PTPRVP,148713,"protein tyrosine phosphatase receptor type V, pseudogene",Pseudogene
ENSG00000260267,D5/D6,0.0216,0.275,6.66,non-DEG,AC026471.1,,"novel transcript, antisense to ARMC5",lncRNA
ENSG00000284879,D5/D6,0.0323,0.275,14.44,non-DEG,AC133644.3,,novel transcript,lncRNA
ENSG00000032742,D5/D6,0.0256,-0.274,6.54,non-DEG,IFT88,8100,intraflagellar transport 88,Protein coding
ENSG00000091651,D5/D6,0.104,0.274,9.88,non-DEG,ORC6,23594,origin recognition complex subunit 6,Protein coding
ENSG00000108848,D5/D6,0.0033,0.274,5.02,non-DEG,LUC7L3,51747,LUC7 like 3 pre-mRNA splicing factor,Protein coding
ENSG00000110768,D5/D6,0.00496,0.274,5,non-DEG,GTF2H1,2965,general transcription factor IIH subunit 1,Protein coding
ENSG00000143420,D5/D6,0.00332,-0.274,6.51,non-DEG,ENSA,2029,endosulfine alpha,Protein coding
ENSG00000163492,D5/D6,0.0355,-0.274,12.85,non-DEG,CCDC141,285025,coiled-coil domain containing 141,Protein coding
ENSG00000169217,D5/D6,0.00118,-0.274,3.97,non-DEG,CD2BP2,10421,CD2 cytoplasmic tail binding protein 2,Protein coding
ENSG00000171940,D5/D6,0.000409,0.274,4.33,non-DEG,ZNF217,7764,zinc finger protein 217,Protein coding
ENSG00000180787,D5/D6,0.00608,0.274,4.81,non-DEG,ZFP3,124961,ZFP3 zinc finger protein,Protein coding
ENSG00000254911,D5/D6,0.148,-0.274,21.67,non-DEG,SCARNA9,619383,small Cajal body-specific RNA 9,lncRNA
ENSG00000064607,D5/D6,0.00206,0.273,8.74,non-DEG,SUGP2,10147,SURP and G-patch domain containing 2,Protein coding
ENSG00000111727,D5/D6,0.0277,-0.273,8.06,non-DEG,HCFC2,29915,host cell factor C2,Protein coding
ENSG00000130714,D5/D6,0.00741,-0.273,4.81,non-DEG,POMT1,10585,protein O-mannosyltransferase 1,Protein coding
ENSG00000136450,D5/D6,0.00017,0.273,5.16,non-DEG,SRSF1,6426,serine and arginine rich splicing factor 1,Protein coding
ENSG00000150990,D5/D6,0.000882,0.273,3.46,non-DEG,DHX37,57647,DEAH-box helicase 37,Protein coding
ENSG00000157600,D5/D6,0.0602,-0.273,34.03,non-DEG,TMEM164,84187,transmembrane protein 164,Protein coding
ENSG00000160813,D5/D6,0.0648,0.273,15.65,non-DEG,PPP1R35,221908,protein phosphatase 1 regulatory subunit 35,Protein coding
ENSG00000160961,D5/D6,0.094,-0.273,22.85,non-DEG,ZNF333,84449,zinc finger protein 333,Protein coding
ENSG00000163875,D5/D6,0.00852,0.273,7.8,non-DEG,MEAF6,64769,MYST/Esa1 associated factor 6,Protein coding
ENSG00000168303,D5/D6,0.00248,0.273,5.67,non-DEG,MPLKIP,136647,M-phase specific PLK1 interacting protein,Protein coding
ENSG00000174231,D5/D6,0.000109,0.273,5.74,non-DEG,PRPF8,10594,pre-mRNA processing factor 8,Protein coding
ENSG00000175221,D5/D6,0.0214,-0.273,9.29,non-DEG,MED16,10025,mediator complex subunit 16,Protein coding
ENSG00000227403,D5/D6,0.00756,0.273,6.07,non-DEG,LINC01806,100996579,long intergenic non-protein coding RNA 1806,lncRNA
ENSG00000231770,D5/D6,0.0309,-0.273,12.67,non-DEG,TMEM44-AS1,,TMEM44 antisense RNA 1,lncRNA
ENSG00000275835,D5/D6,0.00389,0.273,4.2,non-DEG,TUBGCP5,114791,tubulin gamma complex associated protein 5,Protein coding
ENSG00000043093,D5/D6,0.00157,-0.272,9.77,non-DEG,DCUN1D1,54165,defective in cullin neddylation 1 domain containing 1,Protein coding
ENSG00000067955,D5/D6,0.0609,0.272,7.72,non-DEG,CBFB,865,core-binding factor subunit beta,Protein coding
ENSG00000106009,D5/D6,0.0341,0.272,9.04,non-DEG,BRAT1,221927,BRCA1 associated ATM activator 1,Protein coding
ENSG00000108375,D5/D6,0.0363,-0.272,12.21,non-DEG,RNF43,54894,ring finger protein 43,Protein coding
ENSG00000120675,D5/D6,0.00228,0.272,6.58,non-DEG,DNAJC15,29103,DnaJ heat shock protein family (Hsp40) member C15,Protein coding
ENSG00000136045,D5/D6,0.00114,0.272,4.26,non-DEG,PWP1,11137,"PWP1 homolog, endonuclein",Protein coding
ENSG00000141458,D5/D6,0.00489,-0.272,5.28,non-DEG,NPC1,4864,NPC intracellular cholesterol transporter 1,Protein coding
ENSG00000141642,D5/D6,0.0173,0.272,7,non-DEG,ELAC1,55520,elaC ribonuclease Z 1,Protein coding
ENSG00000145349,D5/D6,0.00258,-0.272,7.27,non-DEG,CAMK2D,817,calcium/calmodulin dependent protein kinase II delta,Protein coding
ENSG00000146463,D5/D6,0.000889,0.272,2.21,non-DEG,ZMYM4,9202,zinc finger MYM-type containing 4,Protein coding
ENSG00000164346,D5/D6,0.00411,0.272,6.48,non-DEG,NSA2,10412,NSA2 ribosome biogenesis factor,Protein coding
ENSG00000164823,D5/D6,0.0012,0.272,5.89,non-DEG,OSGIN2,734,oxidative stress induced growth inhibitor family member 2,Protein coding
ENSG00000165185,D5/D6,0.00131,0.272,9.22,non-DEG,KIAA1958,158405,KIAA1958,Protein coding
ENSG00000167920,D5/D6,0.0404,-0.272,8.67,non-DEG,TMEM99,147184,transmembrane protein 99 (putative),lncRNA
ENSG00000170379,D5/D6,0.137,-0.272,20.07,non-DEG,TCAF2,285966,TRPM8 channel associated factor 2,Protein coding
ENSG00000175463,D5/D6,0.0106,0.272,8.26,non-DEG,TBC1D10C,374403,TBC1 domain family member 10C,Protein coding
ENSG00000176108,D5/D6,0.0144,-0.272,8.54,non-DEG,CHMP6,79643,charged multivesicular body protein 6,Protein coding
ENSG00000177042,D5/D6,0.0183,0.272,5.83,non-DEG,TMEM80,283232,transmembrane protein 80,Protein coding
ENSG00000183682,D5/D6,0.107,0.272,16.72,non-DEG,BMP8A,353500,bone morphogenetic protein 8a,Protein coding
ENSG00000204934,D5/D6,0.0566,0.272,12.74,non-DEG,ATP6V0E2-AS1,401431,ATP6V0E2 antisense RNA 1,lncRNA
ENSG00000212802,D5/D6,0.0124,0.272,9.44,non-DEG,RPL15P3,,ribosomal protein L15 pseudogene 3,Pseudogene
ENSG00000048828,D5/D6,9.73e-05,0.271,1.98,non-DEG,FAM120A,23196,family with sequence similarity 120A,Protein coding
ENSG00000071243,D5/D6,0.0111,-0.271,4.39,non-DEG,ING3,54556,inhibitor of growth family member 3,Protein coding
ENSG00000102471,D5/D6,0.133,-0.271,20.62,non-DEG,NDFIP2,54602,Nedd4 family interacting protein 2,Protein coding
ENSG00000120910,D5/D6,0.00338,-0.271,2.67,non-DEG,PPP3CC,5533,protein phosphatase 3 catalytic subunit gamma,Protein coding
ENSG00000126457,D5/D6,0.000829,0.271,5.65,non-DEG,PRMT1,3276,protein arginine methyltransferase 1,Protein coding
ENSG00000135723,D5/D6,0.0212,-0.271,6.27,non-DEG,FHOD1,29109,formin homology 2 domain containing 1,Protein coding
ENSG00000153201,D5/D6,7.44e-05,0.271,6.91,non-DEG,RANBP2,5903,RAN binding protein 2,Protein coding
ENSG00000163960,D5/D6,0.000243,0.271,7.25,non-DEG,UBXN7,26043,UBX domain protein 7,Protein coding
ENSG00000198743,D5/D6,0.00226,-0.271,8.37,non-DEG,SLC5A3,6526,solute carrier family 5 member 3,Protein coding
ENSG00000089820,D5/D6,0.00759,0.27,5.63,non-DEG,ARHGAP4,393,Rho GTPase activating protein 4,Protein coding
ENSG00000103381,D5/D6,0.00755,0.27,7.92,non-DEG,CPPED1,55313,calcineurin like phosphoesterase domain containing 1,Protein coding
ENSG00000105677,D5/D6,0.0109,0.27,5.78,non-DEG,TMEM147,10430,transmembrane protein 147,Protein coding
ENSG00000109163,D5/D6,0.147,-0.27,16.73,non-DEG,GNRHR,2798,gonadotropin releasing hormone receptor,Protein coding
ENSG00000122390,D5/D6,0.114,-0.27,10.67,non-DEG,NAA60,79903,"N(alpha)-acetyltransferase 60, NatF catalytic subunit",Protein coding
ENSG00000147996,D5/D6,0.00463,0.27,4.24,non-DEG,CBWD5,220869,COBW domain containing 5,Protein coding
ENSG00000153975,D5/D6,0.00423,-0.27,5.06,non-DEG,ZUP1,221302,zinc finger containing ubiquitin peptidase 1,Protein coding
ENSG00000160201,D5/D6,0.00117,0.27,5.2,non-DEG,U2AF1,7307,U2 small nuclear RNA auxiliary factor 1,Protein coding
ENSG00000160584,D5/D6,0.00154,0.27,3.98,non-DEG,SIK3,23387,SIK family kinase 3,Protein coding
ENSG00000164916,D5/D6,0.00105,0.27,3.41,non-DEG,FOXK1,221937,forkhead box K1,Protein coding
ENSG00000231389,D5/D6,0.000335,-0.27,3.95,non-DEG,HLA-DPA1,3113,"major histocompatibility complex, class II, DP alpha 1",Protein coding
ENSG00000264940,D5/D6,0.0987,-0.27,36.82,non-DEG,SNORD3C,,"small nucleolar RNA, C/D box 3C",ncRNA
ENSG00000114786,D5/D6,0.068,0.269,98.82,non-DEG,ABHD14A-ACY1,100526760,ABHD14A-ACY1 readthrough,Protein coding
ENSG00000135622,D5/D6,0.0743,0.269,15.2,non-DEG,SEMA4F,10505,ssemaphorin 4F,Protein coding
ENSG00000151883,D5/D6,0.000576,0.269,4.96,non-DEG,PARP8,79668,poly(ADP-ribose) polymerase family member 8,Protein coding
ENSG00000160691,D5/D6,0.00485,-0.269,10.48,non-DEG,SHC1,6464,SHC adaptor protein 1,Protein coding
ENSG00000168411,D5/D6,0.00278,0.269,3.65,non-DEG,RFWD3,55159,ring finger and WD repeat domain 3,Protein coding
ENSG00000168827,D5/D6,0.00371,0.269,4.4,non-DEG,GFM1,85476,G elongation factor mitochondrial 1,Protein coding
ENSG00000169684,D5/D6,0.0526,0.269,10.7,non-DEG,CHRNA5,1138,cholinergic receptor nicotinic alpha 5 subunit,Protein coding
ENSG00000169718,D5/D6,0.00623,0.269,7.35,non-DEG,DUS1L,64118,dihydrouridine synthase 1 like,Protein coding
ENSG00000175768,D5/D6,0.0169,0.269,6.17,non-DEG,TOMM5,401505,translocase of outer mitochondrial membrane 5,Protein coding
ENSG00000213020,D5/D6,0.0214,-0.269,6.13,non-DEG,ZNF611,81856,zinc finger protein 611,Protein coding
ENSG00000230513,D5/D6,0.0893,0.269,12.4,non-DEG,THAP7-AS1,439931,THAP7 antisense RNA 1,lncRNA
ENSG00000231579,D5/D6,0.0327,0.269,11.09,non-DEG,RPL7P21,,ribosomal protein L7 pseudogene 21,Pseudogene
ENSG00000234043,D5/D6,0.206,0.269,17.61,non-DEG,NUDT9P1,,nudix hydrolase 9 pseudogene 1,Pseudogene
ENSG00000263412,D5/D6,0.16,-0.269,9.97,non-DEG,AC004477.1,116435298,"novel transcript, antisense to NFE2L1",lncRNA
ENSG00000075239,D5/D6,0.00631,0.268,6.29,non-DEG,ACAT1,38,acetyl-CoA acetyltransferase 1,Protein coding
ENSG00000106462,D5/D6,0.00159,0.268,2.98,non-DEG,EZH2,2146,enhancer of zeste 2 polycomb repressive complex 2 subunit,Protein coding
ENSG00000112972,D5/D6,0.00566,-0.268,15.63,non-DEG,HMGCS1,3157,3-hydroxy-3-methylglutaryl-CoA synthase 1,Protein coding
ENSG00000142784,D5/D6,0.142,-0.268,12.2,non-DEG,WDTC1,23038,WD and tetratricopeptide repeats 1,Protein coding
ENSG00000155561,D5/D6,0.000419,0.268,4.02,non-DEG,NUP205,23165,nucleoporin 205,Protein coding
ENSG00000155629,D5/D6,0.000212,0.268,3.61,non-DEG,PIK3AP1,118788,phosphoinositide-3-kinase adaptor protein 1,Protein coding
ENSG00000159917,D5/D6,0.0215,-0.268,8.69,non-DEG,ZNF235,9310,zinc finger protein 235,Protein coding
ENSG00000160606,D5/D6,0.0419,0.268,27.08,non-DEG,TLCD1,116238,TLC domain containing 1,Protein coding
ENSG00000160959,D5/D6,0.00577,0.268,6.75,non-DEG,LRRC14,9684,leucine rich repeat containing 14,Protein coding
ENSG00000167981,D5/D6,0.0103,-0.268,9.11,non-DEG,ZNF597,146434,zinc finger protein 597,Protein coding
ENSG00000169410,D5/D6,0.000857,0.268,3.64,non-DEG,PTPN9,5780,protein tyrosine phosphatase non-receptor type 9,Protein coding
ENSG00000173064,D5/D6,0.00738,-0.268,11.21,non-DEG,HECTD4,283450,HECT domain E3 ubiquitin protein ligase 4,Protein coding
ENSG00000176148,D5/D6,0.0725,-0.268,10.94,non-DEG,TCP11L1,55346,t-complex 11 like 1,Protein coding
ENSG00000182307,D5/D6,0.0248,0.268,8.72,non-DEG,C8orf33,65265,chromosome 8 open reading frame 33,Protein coding
ENSG00000185624,D5/D6,0.00211,-0.268,5.71,non-DEG,P4HB,5034,prolyl 4-hydroxylase subunit beta,Protein coding
ENSG00000187522,D5/D6,0.026,0.268,5.41,non-DEG,HSPA14,51182,heat shock protein family A (Hsp70) member 14,Protein coding
ENSG00000196873,D5/D6,0.0101,0.268,3.83,non-DEG,CBWD3,445571,COBW domain containing 3,Protein coding
ENSG00000255182,D5/D6,0.0586,0.268,17.55,non-DEG,AC084125.2,,"novel transcript, antisense to PPP1R16A",lncRNA
ENSG00000266714,D5/D6,0.00672,0.268,5.34,non-DEG,MYO15B,80022,myosin XVB,Protein coding
ENSG00000279672,D5/D6,0.0762,0.268,7.32,non-DEG,AP006621.5,,TEC,TEC
ENSG00000064933,D5/D6,0.00486,0.267,5.98,non-DEG,PMS1,5378,"PMS1 homolog 1, mismatch repair system component",Protein coding
ENSG00000101544,D5/D6,0.001,-0.267,3.02,non-DEG,ADNP2,22850,ADNP homeobox 2,Protein coding
ENSG00000101940,D5/D6,0.0137,-0.267,8.16,non-DEG,WDR13,64743,WD repeat domain 13,Protein coding
ENSG00000111669,D5/D6,0.0148,-0.267,11.83,non-DEG,TPI1,7167,triosephosphate isomerase 1,Protein coding
ENSG00000118600,D5/D6,0.0127,0.267,6.65,non-DEG,RXYLT1,10329,ribitol xylosyltransferase 1,Protein coding
ENSG00000136875,D5/D6,0.00195,0.267,3.64,non-DEG,PRPF4,9128,pre-mRNA processing factor 4,Protein coding
ENSG00000141425,D5/D6,0.00815,0.267,11.43,non-DEG,RPRD1A,55197,regulation of nuclear pre-mRNA domain containing 1A,Protein coding
ENSG00000143387,D5/D6,0.0879,-0.267,13.22,non-DEG,CTSK,1513,cathepsin K,Protein coding
ENSG00000153790,D5/D6,0.0633,-0.267,13.1,non-DEG,C7orf31,136895,chromosome 7 open reading frame 31,Protein coding
ENSG00000166446,D5/D6,0.0129,-0.267,6.98,non-DEG,CDYL2,124359,chromodomain Y like 2,Protein coding
ENSG00000166477,D5/D6,0.00743,0.267,10.72,non-DEG,LEO1,123169,"LEO1 homolog, Paf1/RNA polymerase II complex component",Protein coding
ENSG00000169288,D5/D6,0.0237,0.267,9.34,non-DEG,MRPL1,65008,mitochondrial ribosomal protein L1,Protein coding
ENSG00000196110,D5/D6,0.0366,-0.267,7.76,non-DEG,ZNF699,374879,zinc finger protein 699,Protein coding
ENSG00000259768,D5/D6,0.0156,-0.267,8.32,non-DEG,AC004943.2,,"novel transcript, antisense to ZFHX3",lncRNA
ENSG00000072210,D5/D6,0.0448,0.266,18.93,non-DEG,ALDH3A2,224,aldehyde dehydrogenase 3 family member A2,Protein coding
ENSG00000085832,D5/D6,0.000133,-0.266,6.56,non-DEG,EPS15,2060,epidermal growth factor receptor pathway substrate 15,Protein coding
ENSG00000099331,D5/D6,0.0012,-0.266,4.68,non-DEG,MYO9B,4650,myosin IXB,Protein coding
ENSG00000100401,D5/D6,0.024,0.266,9.78,non-DEG,RANGAP1,5905,Ran GTPase activating protein 1,Protein coding
ENSG00000114520,D5/D6,0.00086,0.266,2.9,non-DEG,SNX4,8723,sorting nexin 4,Protein coding
ENSG00000123136,D5/D6,0.00401,0.266,5.93,non-DEG,DDX39A,10212,DExD-box helicase 39A,Protein coding
ENSG00000171992,D5/D6,0.067,-0.266,11.5,non-DEG,SYNPO,11346,synaptopodin,Protein coding
ENSG00000172005,D5/D6,0.0536,-0.266,15.68,non-DEG,MAL,4118,"mal, T cell differentiation protein",Protein coding
ENSG00000173575,D5/D6,0.0636,-0.266,11.83,non-DEG,CHD2,1106,chromodomain helicase DNA binding protein 2,Protein coding
ENSG00000187024,D5/D6, 0.1,0.266,15.44,non-DEG,PTRH1,138428,peptidyl-tRNA hydrolase 1 homolog,Protein coding
ENSG00000198089,D5/D6,0.000773,-0.266,4.25,non-DEG,SFI1,9814,SFI1 centrin binding protein,Protein coding
ENSG00000230006,D5/D6,0.0512,-0.266,11.69,non-DEG,ANKRD36BP2,645784,ankyrin repeat domain 36B pseudogene 2,Pseudogene
ENSG00000231443,D5/D6,0.0875,0.266,9.28,non-DEG,AC124944.2,,"protein phosphatase 4, regulatory subunit 2 (PPP4R2) pseudogene",Pseudogene
ENSG00000235531,D5/D6,0.00225,-0.266,6.16,non-DEG,MSC-AS1,100132891,MSC antisense RNA 1,lncRNA
ENSG00000267757,D5/D6,0.0643,-0.266,26.75,non-DEG,EML2-AS1,100287177,EML2 antisense RNA 1,lncRNA
ENSG00000276256,D5/D6,0.0124,-0.266,6.26,non-DEG,AC011043.1,389831,uncharacterized LOC389831,Protein coding
ENSG00000100385,D5/D6,0.000823,0.265,5,non-DEG,IL2RB,3560,interleukin 2 receptor subunit beta,Protein coding
ENSG00000121454,D5/D6,0.00516,0.265,9.23,non-DEG,LHX4,89884,LIM homeobox 4,Protein coding
ENSG00000123159,D5/D6,0.0371,0.265,13.8,non-DEG,GIPC1,10755,GIPC PDZ domain containing family member 1,Protein coding
ENSG00000146909,D5/D6,0.0012,0.265,4.27,non-DEG,NOM1,64434,nucleolar protein with MIF4G domain 1,Protein coding
ENSG00000151012,D5/D6,0.000384,-0.265,7,non-DEG,SLC7A11,23657,solute carrier family 7 member 11,Protein coding
ENSG00000154589,D5/D6,0.0113,-0.265,8.4,non-DEG,LY96,23643,lymphocyte antigen 96,Protein coding
ENSG00000159214,D5/D6,0.0848,-0.265,19.6,non-DEG,CCDC24,149473,coiled-coil domain containing 24,Protein coding
ENSG00000161970,D5/D6,0.00125,0.265,7.44,non-DEG,RPL26,6154,ribosomal protein L26,Protein coding
ENSG00000221949,D5/D6,0.0243,-0.265,17.33,non-DEG,LINC01465,,long intergenic non-protein coding RNA 1465,lncRNA
ENSG00000236352,D5/D6,0.0468,-0.265,11.44,non-DEG,AC005220.1,,novel transcript,lncRNA
ENSG00000236438,D5/D6,0.0353,-0.265,13.31,non-DEG,FAM157A,,family with sequence similarity 157 member A,Pseudogene
ENSG00000262580,D5/D6,0.00268,0.265,9.19,non-DEG,AC087741.1,,"novel transcript, antisense to CARD14",lncRNA
ENSG00000119523,D5/D6,0.0248,-0.264,17.79,non-DEG,ALG2,85365,"ALG2 alpha-1,3/1,6-mannosyltransferase",Protein coding
ENSG00000123338,D5/D6,0.00063,-0.264,6.36,non-DEG,NCKAP1L,3071,NCK associated protein 1 like,Protein coding
ENSG00000127463,D5/D6,0.00654,0.264,8.89,non-DEG,EMC1,23065,ER membrane protein complex subunit 1,Protein coding
ENSG00000136104,D5/D6,0.0136,0.264,4.79,non-DEG,RNASEH2B,79621,ribonuclease H2 subunit B,Protein coding
ENSG00000137267,D5/D6,0.0819,0.264,8.36,non-DEG,TUBB2A,7280,tubulin beta 2A class IIa,Protein coding
ENSG00000140534,D5/D6,0.0578,-0.264,9.5,non-DEG,TICRR,90381,TOPBP1 interacting checkpoint and replication regulator,Protein coding
ENSG00000141378,D5/D6,0.00673,0.264,6.87,non-DEG,PTRH2,51651,peptidyl-tRNA hydrolase 2,Protein coding
ENSG00000147852,D5/D6,0.00073,-0.264,3.5,non-DEG,VLDLR,7436,very low density lipoprotein receptor,Protein coding
ENSG00000156482,D5/D6,0.000878,0.264,4.03,non-DEG,RPL30,6156,ribosomal protein L30,Protein coding
ENSG00000162419,D5/D6,0.00857,-0.264,5.93,non-DEG,GMEB1,10691,glucocorticoid modulatory element binding protein 1,Protein coding
ENSG00000177548,D5/D6,0.0161,-0.264,7.05,non-DEG,RABEP2,79874,"rabaptin, RAB GTPase binding effector protein 2",Protein coding
ENSG00000188818,D5/D6,0.0939,0.264,11.55,non-DEG,ZDHHC11,79844,zinc finger DHHC-type containing 11,Protein coding
ENSG00000189190,D5/D6,0.00398,-0.264,3.9,non-DEG,ZNF600,162966,zinc finger protein 600,Protein coding
ENSG00000232613,D5/D6,0.112,0.264,21.26,non-DEG,LINC02576,,long intergenic non-protein coding RNA 2576,lncRNA
ENSG00000100918,D5/D6,0.0137,-0.263,4.99,non-DEG,REC8,9985,REC8 meiotic recombination protein,Protein coding
ENSG00000103274,D5/D6,0.00847,-0.263,6.31,non-DEG,NUBP1,4682,nucleotide binding protein 1,Protein coding
ENSG00000105372,D5/D6,0.00553,0.263,6.2,non-DEG,RPS19,6223,ribosomal protein S19,Protein coding
ENSG00000109046,D5/D6,0.00426,-0.263,5.74,non-DEG,WSB1,26118,WD repeat and SOCS box containing 1,Protein coding
ENSG00000116478,D5/D6,0.000235,0.263,3.25,non-DEG,HDAC1,3065,histone deacetylase 1,Protein coding
ENSG00000121671,D5/D6,0.0384,-0.263,14.12,non-DEG,CRY2,1408,cryptochrome circadian regulator 2,Protein coding
ENSG00000126261,D5/D6,0.000324,0.263,4.43,non-DEG,UBA2,10054,ubiquitin like modifier activating enzyme 2,Protein coding
